loss,accuracy,recall,precision,f1-score
0.6375775,0.9376101,0.8830275,0.9166667,0.8995327048087616
0.8691082,0.925283,0.84977067,0.8779621,0.8636363886181008
0.8305005,0.9293082,0.8795872,0.86764705,0.8735763148708827
0.8138532,0.930566,0.8853211,0.8693694,0.8772727564346697
0.6806844,0.93937105,0.8830275,0.90694934,0.8948285678527784
0.87387663,0.9240252,0.853211,0.8773585,0.8651162697161253
0.7525313,0.9310692,0.88990825,0.87782806,0.8838268816135532
0.791532,0.9313207,0.86926603,0.8865497,0.8778228047525721
0.8454377,0.92754716,0.83715594,0.8968059,0.8659549027463237
0.76722974,0.9283019,0.8669725,0.89467454,0.880605744311135
0.8197461,0.92251575,0.88876146,0.8659218,0.8771929829233501
0.75263274,0.9315723,0.8772936,0.8905704,0.8838821394072816
0.7370626,0.9368553,0.86811924,0.9055024,0.886416871510341
0.6472827,0.9426415,0.8944954,0.90592337,0.9001730985514081
0.8189344,0.92654085,0.8853211,0.8664422,0.8757798828052223
0.78282785,0.9315723,0.88073397,0.8797251,0.8802292436420477
0.77580285,0.9328302,0.86811924,0.8916372,0.8797210720085423
0.69548875,0.93433964,0.8956422,0.8905359,0.8930817570214107
0.73552,0.93962264,0.8853211,0.8883774,0.8868465912960644
0.82247615,0.93232703,0.8715596,0.87759817,0.8745684698698335
0.6481427,0.94012576,0.8979358,0.9,0.8989667368218089
0.7723924,0.9298113,0.8841743,0.8791334,0.8816466399563704
0.6881277,0.9303145,0.896789,0.8916762,0.8942252629042073
0.69497246,0.9433962,0.8830275,0.90375584,0.8932714347223649
0.6491518,0.94490564,0.88761467,0.9127358,0.9000000096785832
0.7105799,0.9366038,0.89220184,0.88812786,0.8901601908449379
0.71213204,0.9361006,0.8830275,0.9005848,0.8917197708384692
0.7159047,0.9371069,0.8658257,0.91183573,0.888235298186437
0.72686344,0.9335849,0.90022933,0.8810325,0.8905274580572784
0.71583945,0.9376101,0.88761467,0.8927336,0.8901667318517599
0.7781524,0.9358491,0.8417431,0.915212,0.8769414262064401
0.64127886,0.9408805,0.8944954,0.9080326,0.9012131791048237
0.7930636,0.93333334,0.8944954,0.86283183,0.878378341491323
0.66717726,0.9378616,0.8956422,0.89873415,0.8971855227563782
0.78484315,0.9325786,0.83715594,0.91364205,0.8737282909977342
0.8428766,0.9310692,0.8635321,0.8755814,0.8695149840443073
0.83125824,0.9255346,0.88073397,0.8668172,0.873720127938967
0.68628865,0.9416352,0.88761467,0.89791185,0.8927335649725086
0.7968492,0.9363522,0.86009175,0.89285713,0.8761682216179236
0.70301473,0.9416352,0.8853211,0.89871943,0.8919699735563266
0.87281805,0.92880505,0.8658257,0.8648339,0.8653295178355486
0.7258719,0.93484277,0.875,0.8997642,0.8872093165404347
0.6841833,0.9388679,0.8864679,0.90303737,0.8946759110145445
0.58849037,0.94666666,0.91169727,0.909611,0.910652932695288
0.69613624,0.94037735,0.8956422,0.88952166,0.8925714473031492
0.7264149,0.93937105,0.88188076,0.895227,0.8885038015606771
0.7308478,0.94012576,0.8841743,0.8923611,0.8882488322279766
0.68661094,0.94012576,0.88073397,0.9078014,0.8940628611242619
0.69018793,0.93937105,0.8979358,0.8897727,0.8938356231468453
0.6922067,0.94238997,0.8772936,0.9053255,0.8910891570574154
0.7885763,0.9378616,0.86238533,0.8920522,0.8769679556470187
0.76635355,0.9345912,0.8772936,0.887471,0.8823529865443818
0.7633898,0.9355975,0.8738532,0.8933177,0.8834782572668757
0.7101393,0.9438994,0.8646789,0.9139394,0.8886270101091676
0.7263662,0.94037735,0.90022933,0.8820225,0.8910329202424052
0.7091948,0.9426415,0.88761467,0.8968714,0.8922190188485191
0.72318125,0.94138366,0.8784404,0.899061,0.8886311227632893
0.85035527,0.9318239,0.8543578,0.88061464,0.8672874948411924
0.79901135,0.9303145,0.8772936,0.8813364,0.879310312174731
0.7416685,0.9388679,0.88188076,0.8900463,0.8859446849979762
0.7055416,0.9438994,0.8841743,0.9017544,0.8928777771868928
0.825023,0.9320755,0.8738532,0.8748565,0.8743545515294878
0.7379359,0.9378616,0.8841743,0.88927335,0.8867164859291217
0.7333065,0.9376101,0.8669725,0.89892983,0.8826620359803429
0.8099664,0.93484277,0.85894495,0.8906064,0.8744892207027537
0.8049405,0.93333334,0.8738532,0.8809249,0.8773747645097468
0.8455552,0.93232703,0.8727064,0.8727064,0.872706413269043
0.6248972,0.9474214,0.8944954,0.9144197,0.904347841184897
0.6832459,0.9418868,0.88188076,0.9068396,0.8941860534436895
0.8068884,0.93509436,0.89334863,0.8655556,0.8792325255728057
0.75292295,0.9361006,0.8795872,0.8897912,0.8846597289232617
0.7105014,0.94138366,0.86123854,0.9158537,0.8877068692652921
0.70159537,0.9408805,0.9013761,0.8871332,0.8941979123807882
0.99483764,0.923522,0.8795872,0.8300866,0.8541202801547501
0.83811444,0.9366038,0.8428899,0.898533,0.8698224737637433
0.89791274,0.9310692,0.83027524,0.8894349,0.8588374823915969
0.8181541,0.9308176,0.9082569,0.8525296,0.8795113476757342
0.6729547,0.94238997,0.9036697,0.89443815,0.899030233593283
0.82422584,0.93962264,0.8233945,0.9193342,0.8687234870816514
0.7055582,0.9428931,0.8727064,0.9070322,0.8895382524608162
0.9485866,0.9172327,0.9059633,0.82377476,0.8629164626485841
0.8108184,0.9355975,0.88073397,0.8707483,0.8757126585743464
0.90517616,0.9300629,0.8165138,0.9012658,0.8567990057080641
0.84787565,0.93408805,0.875,0.8700114,0.8724985937494022
0.96225035,0.92654085,0.8715596,0.839779,0.8553742270781403
0.8406152,0.93433964,0.8463303,0.8880866,0.8667057764528507
0.7514985,0.94515723,0.85894495,0.9100851,0.8837757934717669
0.7840225,0.93861634,0.90022933,0.8674033,0.883511502448036
0.72334945,0.94138366,0.9036697,0.87848383,0.8908987767029076
0.7597262,0.9408805,0.86238533,0.9049338,0.883147361082915
0.71555233,0.94062895,0.8761468,0.8998822,0.8878558917107061
0.8814194,0.9290566,0.8727064,0.86183465,0.8672364582002442
0.7149571,0.94641507,0.88761467,0.89791185,0.8927335649725086
0.70258355,0.9433962,0.8646789,0.9183922,0.8907265505523233
0.6545408,0.9436478,0.89220184,0.9057043,0.8989023776066303
0.7390033,0.93962264,0.89105505,0.88395905,0.8874928375655389
0.6548266,0.94666666,0.88876146,0.9117647,0.9001161284127874
0.7389598,0.94138366,0.8704128,0.90464836,0.8872004751107698
0.6494677,0.94792455,0.89220184,0.9057043,0.8989023776066303
0.6379208,0.949434,0.9059633,0.9007982,0.903373368715333
0.6092557,0.949434,0.9105505,0.9012486,0.9058756463894946
0.7441019,0.94138366,0.875,0.89870435,0.8866938085518361
0.7312175,0.9428931,0.86811924,0.90442055,0.8858981450424376
0.5880124,0.95295596,0.9013761,0.91608393,0.9086705185758498
0.62530506,0.9496855,0.89908254,0.90951276,0.904267574192739
0.64045227,0.9481761,0.88990825,0.9118684,0.9007544981741324
0.57162714,0.9499371,0.9013761,0.92253524,0.9118329216767415
0.57957083,0.95194966,0.91284406,0.91075516,0.9117984132574556
0.5757982,0.95119494,0.9094037,0.9125432,0.9109707247617389
